brand,store_name,full_address,city,state,zip,latitude,longitude
Anytime Spritz,Dog Ppl,"3440 Ocean Park Blvd, Santa Monica, CA 90405",Santa Monica,CA,90405,34.02091400,-118.45186500
Anytime Spritz,Domaine LA,"6801 Melrose Ave Los Angeles, CA 90038",,,,34.08375584,-118.34101939
Anytime Spritz,Dreamland Liquor,"22969 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.03775200,-118.67704000
Anytime Spritz,Eataly Retail LA,"10250 Santa Monica Blvd, Los Angeles, CA 90067",Los Angeles,CA,90067,34.05875580,-118.41901940
Anytime Spritz,Edendale Restaurant,"2838 Rowena Ave, Los Angeles, CA 90039",Los Angeles,CA,90039,34.10755882,-118.26581938
Anytime Spritz,Erewhon (Beverly Hills),"339 N Beverly Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.06907400,-118.40158800
Anytime Spritz,Erewhon (Pacific Palisades),"15285 Sunset Blvd, Pacific Palisades, CA 90272",Pacific Palisades,CA,90272,34.04755783,-118.52511942
Anytime Spritz,Erewhon (Pasadena),"475 S Lake Ave, Pasadena, CA 91101",Pasadena,CA,91101,34.13755593,-118.13271935
Anytime Spritz,Erewhon (Silverlake),"4121 Santa Monica Blvd Suite 106, Los Angeles, CA 90029",Los Angeles,CA,90029,34.09210200,-118.28227500
Anytime Spritz,Esters Wine Shop & Bar,"1314 7th St, Santa Monica, CA 90401",Santa Monica,CA,90401,34.01945574,-118.49361941
Anytime Spritz,Fancy Free Liquor,"2001 W Burbank Blvd, Burbank, CA 91506",Burbank,CA,91506,34.18075600,-118.33281939
Anytime Spritz,Farmshop,"225 26th St #25, Santa Monica, CA 90402",Santa Monica,CA,90402,34.04755578,-118.49041941
Anytime Spritz,Felix Traittoria,"1023 Abbot Kinney Blvd, Venice, CA 90291",Venice,CA,90291,33.99225569,-118.47181941
Anytime Spritz,Flask & Field,"767 S Alameda St #180, Los Angeles, CA 90021",Los Angeles,CA,90021,34.03455576,-118.24091937
Anytime Spritz,Flask Highland Park,"5900 N Figueroa St, Los Angeles, CA 90042",Los Angeles,CA,90042,34.11035589,-118.19071936
Anytime Spritz,Fountain Liquor,"4711 Fountain Ave, Los Angeles, CA 90029",Los Angeles,CA,90029,34.09570559,-118.29233194
Anytime Spritz,Gold Line,"5607 N Figueroa St, Los Angeles, CA 90042",Los Angeles,CA,90042,34.10925588,-118.19401936
Anytime Spritz,Good Riddance (formerly Simon's Market Lincoln),"1709 Lincoln Blvd, Venice, CA 90291",Venice,CA,90291,33.99647598,-118.45798228
Anytime Spritz,Hi-Lo Liquor (CULVER CITY),"8582 Washington Blvd, Culver City, CA 90232",Culver City,CA,90232,34.03055755,-118.38119396
